title;artist;instrumentation;duration;instrumentationType;programNotes;audioFile;pdfPreview;storeLink;premiereDate;premiereLocation;ensemble;commissioner;dedication;awards
Hora Nona;;Solo Piano;3';Solo Instrument;This piece explores the relationship between melody and harmony through minimalist techniques...;;images/scores/original/Hora-nona.png;;2018;Real Conservatorio de Música de Madrid;;Pieza estrenada en concierto homenaje a Manuel Seco de Arpe;;
Danza de la Meseta;;Flauta y Guitarra;2'17'';Duo;;https://soundcloud.com/ezequiel-navarrete-cap/danza-de-la-meseta?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=ee568e9b0f184ef39877015097c6abac;images/scores/original/danzadelameseta.png;https://www.sheetmusicdirect.com/se/ID_No/1857308/Product.aspx;2018;Museo del Embalse de Bolarque;Duo Arietta;;Para Clara;
En una noche oscura;;Coro SATB a capella;6';Coro;"En una noche oscura
con ansias en amores inflamada
¡oh dichosa ventura!
salí sin ser notada
estando ya mi casa sosegada,

a oscuras y segura
por la secreta escala disfrazada,
¡oh dichosa ventura!
a oscuras y en celada
estando ya mi casa sosegada.

En la noche dichosa
en secreto que nadie me veía
ni yo miraba cosa
sin otra luz y guía
sino la que en el corazón ardía.

Aquesta me guiaba
más cierto que la luz del mediodía
adonde me esperaba
quien yo bien me sabía
en sitio donde nadie aparecía.

¡Oh noche, que guiaste!
¡Oh noche amable más que la alborada!
¡Oh noche que juntaste
amado con amada,
amada en el amado transformada!

En mi pecho florido,
que entero para él solo se guardaba
allí quedó dormido
y yo le regalaba
y el ventalle de cedros aire daba.

El aire de la almena
cuando yo sus cabellos esparcía
con su mano serena
y en mi cuello hería
y todos mis sentidos suspendía.
Quedéme y olvidéme
el rostro recliné sobre el amado;
cesó todo, y dejéme
dejando mi cuidado
entre las azucenas olvidado.

San Juan de la Cruz (1618)";;images/scores/original/enunanocheoscura.png;https://www.sheetmusicdirect.com/se/ID_No/1857325/Product.aspx;;;;;;
RAJAO;;Quinteto de Metales;2';Quinteto;;https://soundcloud.com/ezequiel-navarrete-cap/rajao-quinteto-de-metales?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=b9e1f09898b64ce1a935f67af78dc364;images/scores/original/rajao.png;https://www.sheetmusicdirect.com/se/ID_No/1862946/Product.aspx;2024;Alzira;Spanish Brass;;;Premio del Público en el X Concurso internacional de composición SBALZ
Bowser's Castle;;Quinteto de Viento;4';Quinteto;"Flauta
Oboe
Clarinete en Si bemol
Trompa en Fa
Fagot";https://youtu.be/Mbku_v6pf14?si=U0xa9SuWqxXfI8Xp;images/scores/original/bowser.jpg;;2015;Madrid;;;;
Arma Christi (Marcha de Procesión);;Banda;5';Banda;Marcha de procesión destinada para la procesión del Santo Sepulcro.;https://youtu.be/AIr1dYIXZvc?si=S04-GVGUmmRguwhr;images/scores/original/armachristi.png;https://www.sheetmusicdirect.com/es-ES/se/ID_No/1857295/Product.aspx;2023;Cuenca;Banda Municipal de Música de Cuenca;;Marcha dedicada a la Banda Municipal de Música de Cuenca;
Via Lucis (Marcha de Procesión);;Banda;5'40'';Banda;El Via Lucis es la contrapartida del Via Crucis. Un camino a la resurreción, de la oscuridad a la luz.;https://youtu.be/jch33ZAQDIU?si=jygLPAf881eDJCbw;images/scores/original/vialucis.png;https://www.sheetmusicdirect.com/se/ID_No/1857296/Product.aspx;2024;Cuenca;Banda Municipal de Música de Cuenca;;;
Ferdinando 'El Toro' (pasodoble);;Banda;3'40'';Banda;Un toro que solo quería oler flores y no quería torear.;https://soundcloud.com/ezequiel-navarrete-cap/ferdinando-el-toro-pasodoble?si=b6cee19c539a49ec8733feede6452f9b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing;images/scores/original/ferdinandoeltoro.png;https://www.sheetmusicdirect.com/se/ID_No/1857299/Product.aspx;2022;Cuenca;Banda Municipal de Música de Cuenca;;;
Dime MariCarmen (pasodoble);;Banda;3'10'';Banda;Siempre me llamaba y le contestaba lo mismo 'Dime MariCarmen'.;https://soundcloud.com/ezequiel-navarrete-cap/dime-maricarmen?si=1abf58c6220247398317754be68c3a69&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing;images/scores/original/dimemaricarmen.png;;2023;Cuenca;;Encargo realizado por El Muy Ilustre Cabildo De Nuestra Señora La Virgen De La Amargura En La Real Y Muy Ilustre Orden-Archicofradía De Nuestra Señora Del Rosario (Paso Blanco) de Lorca;;
Balkis;;Banda;4'30'';Banda;Marcha de procesión destinada a acompañar la carroza de la Reina de Saba en la Semana Santa de Lorca;https://soundcloud.com/ezequiel-navarrete-cap/rajao-quinteto-de-metales?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=31f086fc30034d8890d006b55fc228f5;images/scores/original/balkis.png;;2025;;;;;
Mar de Cristal;;Banda y electroacústica;5'20'';Banda y electroacústica;"Mar de Cristal es una recreación del conjunto de situaciones vividas por el compositor en su pueblo natal. Como nativo de la costa de Almería la vida marina jugó un papel muy importante en su niñez. Esta obra es un recuerdo del compositor en la playa ""La Quitapellejos"" en la que sufrió las consecuencias de un fuerte oleaje y una costa pedregosa.";;images/scores/original/mardecristal.png;;;;;;;
